userid;answerid;scenario;intent;status;answer_annotation;notes;suggested_entities;answer_normalised;answer;question
1;64;general;greet;null;what's up;null;NULL;what's up;what's up olly;Write what you would tell your PDA in the following scenario: You want to start a conversation with your PDA.
2;588;music;likeness;null;i like [music_genre : rock] music;null;music_genre, person, preference, song_name;i like rock music;I like rock music;How would you tell your PDA about the music you like?
2;589;music;likeness;null;my favourite music band is [artist_name : queen];null;music_genre, person, preference, song_name;my favourite music band is queen;My favourite music band is Queen;How would you tell your PDA about the music you like?
2;590;music;likeness;null;i like [artist_name : senatra] songs;null;music_genre, person, preference, song_name;i like senatra songs;I like Senatra songs;How would you tell your PDA about the music you like?
2;597;music;likeness;null;i'm really enjoying this song;null;music_genre, person, preference, song_name;i'm really enjoying this song;Olly, I'm really enjoying this song;How would you tell your PDA what you think about a song playing in the background?
2;598;music;likeness;null;the song you are playing is amazing;null;music_genre, person, preference, song_name;the song you are playing is amazing;The song you are playing is amazing;How would you tell your PDA what you think about a song playing in the background?
2;599;music;likeness;null;this is one of the best songs for me;null;music_genre, person, preference, song_name;this is one of the best songs for me;This is one of the best songs for me;How would you tell your PDA what you think about a song playing in the background?
4;684;general;joke;null;make me laugh;null;joke_type;make me laugh;make me laugh;How would you ask for a joke
4;685;general;joke;null;tell me a [joke_type : good] joke;null;joke_type;tell me a good joke;tell me a good joke;How would you ask for a joke
4;686;general;joke;null;send a giggle my way;null;joke_type;send a giggle my way;Send a giggle my way;How would you ask for a joke
4;687;general;joke;null;tell me a joke;null;joke_type;tell me a joke;tell me a joke.;Write what you would tell your PDA in the following scenario: You want to be told a joke.
4;688;general;joke;null;cheer me up;null;joke_type;chear me up;chear me up.;Write what you would tell your PDA in the following scenario: You want to be told a joke.
7;729;music;likeness;null;that's a good song;null;music_genre, person, preference, song_name;that's a good song;That's a good song;How would you tell your PDA what you think about a song playing in the background?
7;730;music;dislikeness;null;i don't like it;null;music_genre, person, preference, song_name;i don't like it;I don't like it;How would you tell your PDA what you think about a song playing in the background?
7;731;music;likeness;null;i like it;null;music_genre, person, preference, song_name;i like it;I like it;How would you tell your PDA what you think about a song playing in the background?
7;732;music;likeness;null;i like [music_genre : jazz];null;music_genre, person, preference, song_name;i like jazz;I like Jazz;How would you tell your PDA about the music you like?
7;735;music;likeness;null;this song was very good;null;music_genre, person, preference, song_name;this song was very good;This song was very good!;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
7;736;music;likeness;null;i like this song;null;music_genre, person, preference, song_name;i like this song;I like this song.;Write what you would tell your PDA in the following scenario: You want to save your opinion on the song playing.
7;783;general;greet;null;how are you;null;NULL;how are you;How are you?;How would you start a casual conversation with your PDA?
7;785;general;greet;null;hey hey;null;NULL;hey hey;Hey hey;How would you start a casual conversation with your PDA?
8;1325;general;joke;null;tell me some joke;null;joke_type;tell me some joke;Tell me some joke.;How would you ask for a joke
8;1328;general;joke;null;do you know any joke;null;joke_type;do you know any joke;Do you know any joke?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
22;1702;music;likeness;null;add this song to my favorite list;null;music_genre, person, preference, song_name;add this song to my favorite list;Add this song to my favorite list;How would you tell your PDA what you think about a song playing in the background?
28;1913;general;greet;null;how are you doing;null;NULL;how are you doing;How are you doing?;How would you start a casual conversation with your PDA?
28;1914;general;greet;null;morning what's up;null;NULL;morning what's up;Morning, what's up?;How would you start a casual conversation with your PDA?
35;2113;music;likeness;null;can save this music in my playlist;null;music_genre, person, preference, song_name;can save this music in my playlist;Can save this music in my playlist?;How would you tell your PDA about the music you like?
35;2114;music;likeness;null;how about you save this music;null;music_genre, person, preference, song_name;how about you save this music;How about you save this music?;How would you tell your PDA about the music you like?
35;2115;music;likeness;null;i want the music to be saved can you do it for me;null;music_genre, person, preference, song_name;i want the music to be saved can you do it for me;I want the music to be saved. Can you do it for me?;How would you tell your PDA about the music you like?
47;2216;general;joke;null;can you tell me a joke;null;joke_type;can you tell me a joke;Can you tell me a joke?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
47;2217;general;joke;null;tell me a [joke_type : funny] joke;null;joke_type;tell me a funny joke;Tell me a funny joke.;Write what you would tell your PDA in the following scenario: You want to be told a joke.
51;2338;music;dislikeness;null;thumbs down;null;music_genre, person, preference, song_name;thumbs down;thumbs down;How would you tell your PDA what you think about a song playing in the background?
51;2340;music;dislikeness;null;i don't like this band;null;music_genre, person, preference, song_name;i don't like this band;i don't like this band;How would you tell your PDA what you think about a song playing in the background?
50;2441;general;joke;null;whats a [joke_type : silly] joke you know;null;joke_type;whats a silly joke you know;whats a silly joke you know?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
50;2442;general;joke;null;whats a [joke_type : good] joke;null;joke_type;whats a good joke;whats a good joke?;Write what you would tell your PDA in the following scenario: You want to be told a joke.
49;2566;general;joke;null;tell me [joke_type : random] joke;null;joke_type;tell me random joke;Tell me random joke.;Write what you would tell your PDA in the following scenario: You want to be told a joke.
